abréviation	abr.	French
abridged	abr.	English
abridgment	abr.	English
Abrüstung	Abrüst.	German
abruzz-	abruzz.	Italian
Absatzfrage	Absatzfr.	German
Absatzgebiet	Absatzgeb.	German
Absatzgrössenklasse	Absatzgrössenkl.	German
Absatzverhältnis	Absatzverhält.	German
Absatzwirtschaft	Absatzwirtsch.	German
absatzwirtschaftlich	absatzwirtsch.	German
Abschätzung	Abschätz.	German
Abscheideleistung-	Abscheideleist.	German
Abscheider	Abscheid.	German
Abschluss	Abschl.	German
Abschnitt	Abschn.	German
Abschrift	Abschr.	German
absenteism	absent.	English
absentéisme	absent.	French
absolut-	absol.	Multiple languages
absolût-	absol.	Russian
Absolvent-	Absolv.	German
absolwent	absolw.	Polish
absorbci-	absorbc.	Russian
absorption	absorpt.	English, French
Abstammung	Abstamm.	German
abstinence	abstin.	French, English
abstracc-	abstr.	Spanish
abstract-	abstr.	French, English
abstrak	abstr.	Indonesian
Abteilung-	Abt.	German
abtragen	abtrag.	German
abundant-	abund.	English
abus-	abus.	English, French
Abwärmekommission	Abwärmekomm.	German
Abwärmeverwertung	Abwärmeverwert.	German
Abwasseranalyt-	Abwasseranal.	German
Abwasserbehandlung-	Abwasserbehandl.	German
Abwasserbeseitigung	Abwasserbeseit.	German
Abwasserbodenhandlung-	Abwasserbodenhandl.	German
Abwassereinleitung	Abwassereinleit.	German
Abwasserhebeanlage	Abwasserhebeanl.	German
Abwasserkunde	Abwasserkd.	German
Abwasserleitung	Abwasserleit.	German
Abwasserreinigung	Abwasserreinig.	German
Abwassertechni-	Abwassertech.	German
Abwassertechnolog-	Abwassertechnol.	German
Abwasserverwertung	Abwasserverwert.	German
Abwasserwesen	Abwasserwes.	German
Abwicklung	Abwickl.	German
acabad-	acab.	Spanish
academ-	acad.	French, Spanish, English
acampamento	acamp.	Spanish
acaricide	acaric.	English
acarolog-	acarol.	French, English
ačaruli	ačar.	Georgian
accademi-	accad.	Romance (Other)
accelerat-	accel.	French, English
accélérer	accél.	French
accent-	accent.	Multiple languages
accept-	accept.	French, English
accertam-	accert.	Italian
accessib-	access.	Multiple languages
accessing	access.	English
accession-	access.	French, English
accident-	accid.	French, English
accionista	accion.	Spanish
acclimam-	acclim.	Italian
acclimat-	acclim.	English, French
accommodat-	accommod.	English
accomodation	accomod.	English
accompany	acco.	English
accompl-	accompl.	Multiple languages
accord-	accord.	English
accoucheur	accouch.	French
account	acc.	English
accountability	account.	English
accountancy	account.	English
accountant	account.	English
accounting	account.	English
accréditation	accrédit.	French
accredited	accredit.	English
accrocher	accroch.	French
accroissement	accroiss.	French
accueill-	accueil.	French
accultur-	accult.	English
accumulation	accumul.	Multiple languages
accumulative	accumul.	English
accumulator	accumul.	English
aceitero	aceit.	Spanish
acericolo	aceric.	Italian
achademia	achad.	Italian
achemine-	achemin.	French
acheteur	achet.	French
achievement-	achiev.	English
achiever	achiev.	English
achieving	achiev.	English
Achimer	Achim.	German
Achstetten-	Achstett.	German
achtergrondmagazine	achtergrondmag.	Dutch
achtergrondstud-	achtergrondstud.	Dutch
achterstandsituatie	achterstandsituat.	Dutch
achtkarspel-	achtkarspel.	Dutch
achtzehnt-	achtzehn.	German
acident-	acid.	Portuguese
acidificat-	acidif.	English
açikögretim	açikögr.	Turkish
Ackerbausystem-	Ackerbausyst.	German
Ackerschlepper	Ackerschlepp.	German
aclimaç-	aclim.	Portuguese
aclimat-	aclim.	French, Romance (Other)
acollemento	acoll.	
acompañado	acompañ.	Spanish
acompanhamento	acompan.	Portuguese
acondicion-	acond.	Spanish
acontecim-	acontecim.	Spanish, Portuguese
acotación	acot.	Spanish
acousti-	acoust.	French, English
acoustoelectroni-	acoustoelectron.	French, English
acquacoltura	acquacolt.	Italian
acquacultur-	acquacult.	Italian
acquario	acquar.	Italian
acquati-	acquat.	Italian
acquedótto	acqued.	Italian
acquir-	acquir.	English
acquisition-	acquis.	English, French
acquisizión-	acquis.	Italian
acridologie	acridol.	French
acrobatic	acrobat.	English
acronym	acron.	English
actief	act.	Dutch
actif	act.	French
acting	act.	English
actinide	actin.	French
Actiniden	Actin.	German
actinotherap-	actinother.	French, English
actionnaire	action.	French
act̡iune	act̡.	Romanian
activ-	act.	Spanish, Dutch, Portuguese
Activ-	Act.	French
actuación	actuac.	Spanish
actuali-	actual.	English, French, Spanish
actuar-	actuar.	English
actuellement	actuel.	French
acuario	acuar.	Spanish
acuarístico	acuar.	Spanish
acuátic-	acuát.	Spanish
açucareiro	açucar.	Portuguese
acuicultur-	acuic.	Spanish
acumulador	acumul.	Portuguese
acumulat-	acumul.	Spanish
acupuncteur	acupunct.	French
acupuncture	acupunct.	English, French
acupunt-	acupunt.	Spanish
acustica	acust.	Romance (Other)
acvacultur-	acvacult.	Romanian
acvatic-	acvat.	Romanian
adab-	adab.	Azerbaijani
adalék	adal.	Hungarian
adamantine	adamant.	English
adapt-	adapt.	French, English
adaptogen-	adaptog.	English
adatbázis	adbázis.	Hungarian
adatbáziscsalád	adbáziscsal.	Hungarian
adatelemzés	adelemz.	Hungarian
adatfeldolgoz-	adfeld.	Hungarian
adatforrás	adforrás.	Hungarian
adatgyűjtemény	adgyűjt.	Hungarian
adatgyűjtés	adgy.	Hungarian
adatrögzít-	adrögz.	Hungarian
adatszolgáltat-	adszolgt.	Hungarian
adattár	adtár.	Hungarian
adbook	adb.	English
addendum	add.	Latin
addestr-	addestr.	Italian
addiction	addctn.	English
addictive	addctv.	English
Addington	Addingt.	English
additamentum	addit.	Romance (Other), Latin
additif	addit.	French
addition-	addit.	English, French
additive-	addit.	English, French
addominale	addom.	Italian
Adelaide	Adel.	English
adelfot-	adelf.	Greek, Modern (1453- )
adelgaza-	adelg.	Spanish
Adelsblatt	Adelsbl.	German
adelsboek	adelsb.	Dutch
âdern-	âd.	Russian
âdernofizi-	âdernofiz.	Russian
âdernotehni-	âdernoteh.	Russian
adesmeut-	adesm.	Greek, Modern (1453- )
adevǎr-	adev.	Romanian
adgezi-	adgez.	Russian
adhaesion	adhaes.	German
adhérent	adhér.	French
adhesi-	adhes.	Romance (Other), French
adic-	adic.	Spanish
adiestra-	adiestr.	Spanish
adipositasforschung-	adipositasforsch.	German
Adirondack	Adirond.	English
adjacent	adjac.	Multiple languages
adjoin-	adjoin.	English
adjudication	adjudic.	French
adjunct	adjun.	English
adjunto	adjun.	Spanish
adjust-	adjust.	English, French
adjuster	adjust.	English
adjutant	adjut.	English
adjuvan-	adjuv.	English
adletter-	adlett.	English
administer-	adm.	English
administr-	adm.	Multiple languages
admiralty	admir.	English
admisión	admis.	Spanish
admission	admiss.	French, English
admit-	admit.	Multiple languages
admixture	admix.	English
adnot-	adnot.	Polish
adóhatóság	adóhat.	Hungarian
adójogszabály	adójogszab.	Hungarian
adókönyv	adókv.	Hungarian
adolescen-	adolesc.	English, Spanish, French
adopción	adopc.	Spanish
adopt-	adopt.	Multiple languages
adoración	adorac.	Spanish
adoramus	ador.	Latin
adorateur	adorat.	French
adquirid-	adquir.	Spanish
adquis-	adquis.	Spanish
adrbejan-	adrb.	Armenian
adrenerg-	adren.	English
adres-	adres.	Polish
adresboek	adresb.	Dutch
adreslijst	adresl.	Dutch
adress-	adress.	Multiple languages
Adressbuch	Adressb.	German
Adressenwerk	Adressenw.	German
adressförteckning	adressförteckn.	Swedish
Adresskalender	Adresskal.	German
adriatic-	adriat.	Multiple languages
adroddiad	adrodd.	Welsh
adsorpti-	adsorpt.	English
aduan-	aduan.	Spanish
adunanz-	adun.	Italian
adunare	adun.	Romanian
adunat-	adunat.	Greek, Modern (1453- )
ad valor-	ad valor.	Latin
advanc-	adv.	English
advantage	advant.	English
adventist	advent.	English
advers-	advers.	French
adverteerder-	adverteerd.	Dutch
advertentie	advert.	Dutch
advertis-	advert.	English
adviesbureau	adviesbur.	Dutch
adviescommissie	adviescomm.	Dutch
adviesgroep	adviesgr.	Dutch
advieslijst	adviesl.	Dutch
advieswijzer	advieswijz.	Dutch
advis-	advis.	English
advocatuur	advocat.	Dutch
advogado	advog.	Portuguese
advokácie	advok.	Slovak
advokat-	advok.	Multiple languages
advokatblad	advokatbl.	Norwegian
adyacente	adyac.	Spanish
Adyg-	Adyg.	Russian
aedificatio	aedif.	Latin
aegyptiac-	aegypt.	Latin
Aegyptus	Aegypt.	Latin
ændring	ændr.	Danish
aequation	aequ.	Latin
aequator-	aequat.	Latin
aéraulique	aéraul.	French
aerial	aer.	English
aérien	aér.	Romance (Other), French
aerobic-	aerob.	English
aerobiolog-	aerobiol.	French, English
aèrodinam-	aèrodin.	Russian
aèrodispersnyj	aèrodispers.	Russian
aérodrome	aérodr.	French
aerodynam-	aerodyn.	Multiple languages
aeroespac-	aeroesp.	Spanish
aèrofizič-	aèrofiz.	Russian
aèrofotosemka	aèrofotos.	Russian
aèrogazodinam-	aèrogazodin.	Russian
aèrogeolog-	aèrogeol.	Russian
aèrogidrodinami-	aèrogidrodin.	Russian
aèrohimi-	aèrohim.	Russian
aeroioniz-	aeroioniz.	English
aerojet	aeroj.	English
aèrojoniz-	aèrojoniz.	Russian
aerolog-	aerol.	Multiple languages
aèrolog-	aèrol.	Russian
aeromagnetic	aeromagn.	English
aeromedica-	aeromed.	English, French
aèromehani-	aèromeh.	Russian
aèrometod-	aèrometod.	Russian
aeronauti-	aeronaut.	Multiple languages
aeronavegación	aeronaveg.	Spanish
aeronom-	aeron.	Multiple languages
aèronomi-	aèron.	Russian
aerophotograph-	aerophotogr.	Multiple languages
aeroplan-	aeropl.	French, English, Greek, Modern (1453- )
aeropor-	aeropor.	Greek, Modern (1453- )
aeroport-	aeropt.	Multiple languages
aéroport	aéropt.	French
aéroportuaire	aéropt.	French
aéropost-	aéropost.	French
aeropostal	aeropost.	Spanish
aeropuerto	aeropt.	Spanish
Aerosolforschung	Aerosolforsch.	German
Aerosolphysik	Aerosolphys.	German
aerospace	aerosp.	English
aerospatial-	aerosp.	English, French
aérostation	aérostn.	French
aerotechni-	aerotech.	Multiple languages
aerotecni-	aerotec.	Spanish, Italian
aèrotermooptič-	aèrotermoopt.	Russian
aérothermique	aérotherm.	French
Aerothermochemi-	Aerothermochem.	English, German
aerothermodynami-	aerothermodyn.	English, French
aeroüdraul-	aeroüdraul.	Greek, Modern (1453- )
aerozolʹn-	aerozol.	Russian
æstetik	æstet.	Danish
aesthetics	aesthet.	English
aethiopici	aethiop.	Latin
aetiolog-	aetiol.	German
ættbok	ættb.	Norwegian
ættfræði	ættfr.	Icelandic
aevum	aev.	Latin
afacer-	afac.	Romanian
Afanasʹevsk-	Afanasʹev.	Russian
afasiologie	afasiol.	Dutch
afdeeling-	afd.	Dutch
afdeling-	afd.	Dutch, Danish
afección	afecc.	Spanish
afecta-	afect.	Spanish
afect̡iune	afect̡.	Romanian
affaiblir	affaibl.	French
affair-	aff.	English, French
Affalterbach	Affalterb.	German
affamato	affam.	Italian
affar-	aff.	Italian
affärstidning	affärstidn.	Swedish
affect-	affect.	English
afférent	affér.	French
afferm-	afferm.	Italian
affili-	affil.	French, English
affiliateship	affiliatesh.	English
affin-	affin.	French
affirm-	affirm.	French, English
affluent	affl.	French
affordability	affordabil.	English
affordable	afford.	English
affranch-	affranch.	French
affrètement	affrèt.	French
Afganistan	Afgan.	Norwegian
afgehand-	afgehand.	Afrikaans
afgesproken	afgespr.	Dutch
Afghan-	Afghan.	Dutch, French
afghanicus	afghan.	Latin
Afghanistan	Afghan.	French
afgørelse	afgør.	Danish
afhandling-	afh.	Danish
aficion-	afic.	Spanish
afili-	afil.	Spanish
afisorama	afisor.	Greek, Modern (1453- )
afkom	afk.	Danish
aforizem	aforiz.	Slovenian
afprøvning	afprøv.	Danish
Africa-	Afr.	English, French
Afrika-	Afr.	Russian, German
afrikaans	afrik.	Afrikaans
afrikanistisch	afr.	German
afrikanoarav-	afrikanoarav.	Greek, Modern (1453- )
Afrikē	Afr.	Greek, Modern (1453- )
Afrique-	Afr.	French
Afroasiatic	Afroasiat.	English
afrodisiolog-	afrodisiol.	Greek, Modern (1453- )
Afrolusitani-	Afrolusit.	German
afsætning	afsæt.	Danish
afschrijving	afschrijv.	Dutch
afskaffelse	afskaf.	Danish
afsluttende	afslut.	Danish
afsprak-	afspr.	Dutch
afterloading	afterload.	English
aftermarket	aftermark.	English
aftertreatment	aftertreat.	English
aftos-	aft.	Multiple languages
afvalproject	afvalproj.	Dutch
afvalstoff-	afvalstoff.	Dutch
afvalstoffenmaatschappij	afvalstoffenmaatsch.	Dutch
afvalsturing	afvalstur.	Dutch
afvalverwijdering	afvalverwijd.	Dutch
afvalwater	afvalw.	Dutch
afvoeren	afvoer.	Dutch
afwerking	afwerk.	Dutch
afwijkend-	afwijk.	Dutch
agahdar-	agahdar.	Turkish
Agapetos	Agap.	Greek, Modern (1453- )
ägare	äg.	Swedish
ágazat	ágaz.	Hungarian
agbioindustry	agbioind.	English
Agderforskning	Agderforsk.	Norwegian
Agenais	Agen.	French
agence-	agence.	French
Agentur	Agent.	German
agentūr-	agent.	Lithuanian
agentura	agent.	Czech
agentúra	agent.	Slovak
aģentūra	aģent.	Latvian
agentuur	agent.	Estonian
aggeioheirourg-	aggeioheir.	Greek, Modern (1453- )
aggeliaforos	aggeliafor.	Greek, Modern (1453- )
aggeliofor-	aggeliofor.	Greek, Modern (1453- )
aggiornamént-	aggiorn.	Italian
aggiung-	aggiung.	Italian
agglikanikē	aggl.	Greek, Modern (1453- )
aggloellīnik-	aggloell.	Greek, Modern (1453- )
agglomeráció	agglom.	Hungarian
agglomerat-	agglom.	French, English
aggregate	aggreg.	English
aggregation	aggreg.	English
aggressi-	aggress.	English
agil-	agil.	Multiple languages
agiograf-	agiogr.	Greek, Modern (1453- )
agioreitik-	agioreit.	Greek, Modern (1453- )
agios	ag.	Greek, Modern (1453- )
Agiotheod-	Agiotheod.	Greek, Modern (1453- )
agit-	agit.	French
agkalia	agkal.	Greek, Modern (1453- )
aglomerac-	aglom.	Russian
aġnagoba	aġnag.	Georgian
âgodnyj	âgod.	Russian
-agōgē	-ag.	Greek, Modern (1453- )
agōgē	ag.	Greek, Modern (1453- )
agolog-	agol.	Dutch
agōn-	agōn.	Greek, Modern (1453- )
agōnod-	agōnod.	Greek, Modern (1453- )
agopuntur-	agopunt.	Italian
agoranom-	agoranom.	Greek, Modern (1453- )
agoras-	agor.	Greek, Modern (1453- )
agralia	agral.	Latin
agramer	agram.	Croatian
agrameteorologisch-	agrameteorol.	German
agrar-	agrar.	Lithuanian
agrár-	agrár.	Portuguese
Agrarbericht	Agrarber.	German
agrarbiolog-	agrarbiol.	German
Agrarentwicklung	Agrarentwickl.	German
agrárfejlődés	agrárfejl.	Hungarian
Agrarfrage	Agrarfr.	German
Agrargeographie	Agrargeogr.	German
Agrargeschichte-	Agrargesch.	German
Agrarhandel	Agrarhand.	German
agrari-	agrar.	English, French
Agrarjournalist	Agrarjournal.	German
agrárközgazdaság	agrárközgazd.	Hungarian
agrarmeteorologisč-	agrarmeteorol.	Russian
agrarn-	agrar.	Russian
agrarökonom-	agrarökon.	German
Agrarpolitik	Agrarpolit.	German
Agrarpreis	Agrarpr.	German
agrarsozial	agrarsoz.	German
Agrarsoziologie	Agrarsoziol.	German
Agrarstruktur	Agrarstrukt.	German
agrartechni-	agrartech.	German
agrártörténet	agrártört.	Hungarian
agrártudomány	agrártud.	Hungarian
Agrarwirtschaft-	Agrarwirtsch.	German
Agrarwissenschaft	Agrarwiss.	German
agreement	agreem.	English
agrég-	agrég.	French
agrément	agrém.	French
agremia-	agrem.	Spanish
agresión	agres.	Spanish
agressolog-	agressol.	Multiple languages
agribiolog-	agribiol.	English
Agribusiness	Agribus.	German
agrichemical	agrichem.	English
agricol-	agric.	French, English
agrícol-	agríc.	Portuguese
agricult-	agric.	English, Spanish, French
agrícultur-	agríc.	Portuguese
agric'xva	agric'.	Georgian
agrikultor-	agrik.	Russian, German
agrikulʹtur-	agrik.	Russian
Agrikultur	Agrik.	German
agrimens-	agrimens.	Spanish
Agriniōt	Agrin.	Greek, Modern (1453- )
agriturismo	agritur.	Italian
agroaliment-	agroaliment.	French
agrobiolog-	agrobiol.	Multiple languages
agrobiznes	agrobiz.	Polish
agrobotan-	agrobot.	Multiple languages
agrochemi-	agrochem.	German, English
agrochimi-	agrochim.	Italian, French, Romance (Other)
Agrociencias	Agrocienc.	Spanish
agroclimatolog-	agroclimatol.	Spanish
agroecol-	agroecol.	English
agroeconóm-	agroecon.	Spanish
agroedafolog-	agroedafol.	Spanish
agroekosystem-	agroekosyst.	Polish
agroestadístico	agroestad.	Spanish
agrofitotehni-	agrofitoteh.	Russian
agrofizični	agrofiz.	Bulgarian
agrofizyk-	agrofiz.	Polish
agroflorestal	agroflorest.	Portuguese
agroforestal	agrofor.	Spanish
agroforestry	agrofor.	English
agrofyl-	agrofyl.	Greek, Modern (1453- )
agrogeolog-	agrogeol.	Multiple languages
agrogruntoznavst-	agrogruntozn.	Ukrainian
agrohimi-	agrohim.	Russian
agroindustria	agroind.	Portuguese, Spanish
agrokemi-	agrokem.	Danish, Swedish, Norwegian
agrokémia	agrokém.	Hungarian
agroklimat	agroklim.	Indonesian
agrokombinát	agrokomb.	Czech
agrolesomeliora-	agrolesomelior.	Russian
agrolog-	agrol.	Multiple languages
agromeliora-	agromelior.	Multiple languages
agrometeorolog-	agrometeorol.	Spanish, Italian
agrometeorológia	agrometeorol.	Hungarian
agronom-	agron.	Multiple languages
agroobrt-	agroobrt.	Croatian
agropanorama	agropanor.	Polish
agropecuari-	agropecu.	Italian, Spanish
agropočven-	agropočv.	Russian
agropočvoveden-	agropočvoved.	Russian
agroproizvodstv-	agroproizvod.	Russian
agropromyšlen-	agroprom.	Russian
agroquimi-	agroquim.	Romance (Other)
agrosocial	agrosoc.	Spanish
Agrotechni-	Agrotech.	Multiple languages
agrotecni-	agrotec.	Italian, Spanish
agrotehni-	agroteh.	Romance (Other)
agrotikos	agr.	Greek, Modern (1453- )
agroturís-	agrotur.	Spanish
agroveterinaria	agrovet.	Portuguese
agrumari-	agrum.	Italian
agrumicoltur-	agrumic.	Italian
agrumicultur-	agrumic.	Romance (Other)
agrupa-	agrup.	Spanish
Aguélimus-	Aguélimus.	Swedish
agustinian-	agust.	Spanish
agygyakorlat	agygyak.	Hungarian
Ägypten	Ägypt.	German
ägyptisch	ägypt.	German
Ägyptologie	Ägyptol.	German
aġzrda	aġz.	Georgian
Aharnaïk-	Aharn.	Greek, Modern (1453- )
ahbori	ahb.	
ahborotnoma	ahb.	Uzbek
Ahelōos	Ahel.	Greek, Modern (1453- )
Ahlen-	Ahlen.	German
ähnlich-	ähnl.	German
ahorr-	ahorr.	Spanish
aiapidaja	aiapid.	Estonian
aidinkieli	aidink.	Finnish
Aigaiopelag-	Aigaiopelag.	Greek, Modern (1453- )
Aiginiōt-	Aigin.	Greek, Modern (1453- )
Aigypt-	Aigypt.	Greek, Modern (1453- )
Aigyptiolog-	Aigyptiol.	Greek, Modern (1453- )
aikakausi	aikak.	Finnish
aikuinen	aik.	Finnish
ailment	ailm.	English
aimat-	aim.	Greek, Modern (1453- )
aimodos-	aimodos.	Greek, Modern (1453- )
aineenopettaja	aineenopett.	Finnish
-aineisto	-ain.	Finnish
aiolik-	aiol.	Greek, Modern (1453- )
aiōn-	aiōn.	Greek, Modern (1453- )
airbrush	airbr.	English
aircraft	aircr.	English
airforce	airf.	English
airfreight	airfr.	English
airline	airl.	English
airplane	airpl.	English
airport	airpt.	English
airship	airsh.	English
airspace	airsp.	English
airway	airw.	English
airworthiness	airworth.	English
aisla-	aisl.	Spanish
aisthētik-	aisthēt.	Greek, Modern (1453- )
aither-	aither.	Greek, Modern (1453- )
Aitōl-	Aitōl.	Greek, Modern (1453- )
aitōloakarnan-	aitōloakarn.	Greek, Modern (1453- )
aizsardz-	aizsardz.	Latvian
ajakiri	ajak.	Estonian
ajakirjandus	ajakirjand.	Estonian
ajaloo	ajal.	Estonian
ajandus	ajand.	Estonian
ajankohtai-	ajankoht.	Finnish
ajánl-	aj.	Hungarian
ajattelija	ajatt.	Finnish
ajedre-	ajedr.	Spanish
ajoneuvonosturi	ajoneuvonost.	Finnish
ajuntament	ajunt.	Spanish
ajustement	ajust.	French
akadeem-	akad.	Estonian
Akadem-	Akad.	Russian, German
akadēm-	akad.	Latvian
akadémia	akad.	Hungarian
akadīm-	akad.	Greek, Modern (1453- )
Akarnan-	Akarn.	Greek, Modern (1453- )
akarolog-	akarol.	Russian
akatemi-	akat.	Finnish
akauntan	akaunt.	Malay
akcin-	akc.	Lithuanian
åkerbruk	åkerbr.	Swedish
akinēta	akin.	Greek, Modern (1453- )
akistata	akist.	Lithuanian
akkerbouw	akkerb.	Dutch
akklimat-	akklim.	German
akkreditál	akkredit.	Hungarian
akkrediter-	akkr.	Danish
åklagare	åklag.	Swedish
aklimat-	aklim.	Russian
Akobitika	Akob.	Greek, Modern (1453- )
akoestich	akoest.	Dutch
akoolog-	akool.	Greek, Modern (1453- )
Akquis-	Akquis.	German
akrib-	akrib.	German
akrobat-	akrob.	Hungarian
aksjemarkedsutvalg	aksjemarkedsutv.	Norwegian
aktieähnlich-	aktieähnl.	German
aktiebolag-	ab.	Norwegian, Swedish
aktief	akt.	Dutch
aktiekrant	aktiekr.	Dutch
aktienähnlich-	aktienähnl.	German
Aktienanalyse	Aktienanal.	German
Aktienführer	Aktienführ.	German
Aktiengesellschaft	AG.	German
aktiesparar-	aktiespar.	Swedish
aktinologia	aktinol.	Greek, Modern (1453- )
aktinometr-	aktinom.	German, Russian
aktinotherap-	aktinother.	Greek, Modern (1453- )
Aktionsgemeinschaft	Aktionsgem.	German
Aktionsgruppe	Aktionsgr.	German
aktiv-	akt.	Macedonian, German
aktov-	akt.	Russian
aktuaal-	aktuaal.	Estonian
aktual-	aktual.	Multiple languages
aktuālas	aktuāl.	Latvian
aktuarietidskrift-	aktuarietidskr.	Swedish
Aktuarverein	Aktuarver.	German
aktûbinsk-	aktûb.	Russian
aktyv-	akt.	Lithuanian
aktywista	akt.	Polish
akuntansi	akunt.	Indonesian
akupunkt-	akupunkt.	Hungarian, German, Polish
akušer-	akuš.	Russian
akusti-	akust.	Russian, German
akustoelektroni-	akustoelektron.	German
akustooptič	akustoopt.	Russian
akusty-	akust.	Polish
akusztika	akuszt.	Hungarian
akutan	akut.	Multiple languages
âkutsk-	âkut.	Russian
akvakulʹtur-	akvakulʹt.	Russian
akvarium	akvar.	Danish, Swedish
akvárium	akvár.	Czech
akvatisk-	akvat.	Norwegian
Akzeptanz	Akzept.	German
akzeptieren	akzept.	German
Akzession	Akzess.	German
Alabama-	Ala.	English
alakulás	alak.	Hungarian
alámbr-	alámbr.	Spanish
alarm-	alarm.	Romanian
Alaska	Alsk.	Multiple languages
alavés	alav.	Spanish
albacetense	albacet.	Spanish
albanais	alban.	French
albanez-	alban.	Romanian
albanicum	alban.	Latin
Albanien	Alban.	German
albanisch	alban.	German
albanoell-	albanoell.	Greek, Modern (1453- )
albanolog-	albanol.	Albanian
alberghier-	albergh.	Italian
Alberta	Alta.	English
albertan	alta.	English
albistar-	albist.	Basque
albizottság	albiz.	Hungarian
Albstadt	Albst.	German
Albuquerque	Albuq.	English
alçada	alç.	Portuguese
Alcalá de Henares	Alcalá Hen.	Spanish
alchemist-	alchem.	English
alchimie	alchim.	French
alchimist-	alchim.	French
alcohofilia	alcohofil.	Spanish
alcoholfabriek	alcoholfabr.	Dutch
alcoholhoudend	alcoholhoud.	Dutch
alcoholi-	alcohol.	English
alcooli-	alcool.	Romance (Other)
Alcover-	Alcover.	Multiple languages
Aldenhoven-	Aldenh.	German
Aldingen-	Alding.	German
aldizkari	aldizka.	Basque
alegación	alegac.	Spanish
aleman-	alem.	Spanish
